time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.00399031418617936,0.6882140340526387,0.0,0.0,0.0,0.0,0.0,0.5194531970308206,36.3224232522614,0.0,0.0,-1.1102230246251565e-16,0.0,2.142862276193332e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6983124860147802,0.0,0.0,0.0,0.0,0.0,0.51128936267128,35.80296964088616,0.0,0.0,0.0,0.0,2.1428623006378193e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.701679779257407,0.0,0.0,0.0,0.0,0.0,0.4896220871335894,35.291679869796084,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428623250823067e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6945483240730058,0.0,0.0,0.0,0.0,0.0,0.47325007804574387,34.802057380076185,0.0,0.0,-1.1102230246251565e-16,0.0,2.142862349526795e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6668873675080108,0.0,0.0,0.0,0.0,0.0,0.4811613579541305,34.32880690502945,0.0,0.0,0.0,0.0,2.1428623739712832e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6417447286855031,0.0,0.0,0.0,0.0,0.0,0.48644939394024317,33.84764515547289,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428623984157717e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.6293496787605645,0.0,0.0,0.0,0.0,0.0,0.4862083339279982,33.36119537541902,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428624228602607e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.6232635523731415,0.0,0.0,0.0,0.0,0.0,0.48476761292867315,32.87498666092652,0.0,0.0,0.0,0.0,2.1428624473047498e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.6152872329747128,0.0,0.0,0.0,0.0,0.0,0.48580381500691694,32.39021867297972,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428624717492392e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.6118875195222593,0.0,0.0,0.0,0.0,0.0,0.49279243207820095,31.904414488484626,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428624961937287e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.6126162411741142,0.0,0.0,0.0,0.0,0.0,0.5036505585656615,31.411621692460002,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428625206382187e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.6079278046885443,0.0,0.0,0.0,0.0,0.0,0.5261122050967534,30.90797077556941,0.0,0.0,-1.1102230246251565e-16,0.0,2.142862545082709e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5940721098403033,0.0,0.0,0.0,0.0,0.0,0.5625891277667887,30.381858217893072,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428625695271995e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5794212546517256,0.0,0.0,0.0,0.0,0.0,0.5982637632236716,29.81926874354827,0.0,0.0,0.0,0.0,2.1428625939716903e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.14535678773839228,0.5649583421561363,0.0,0.0,0.0,0.0,0.0,0.47861626137352886,29.221004640164274,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428626184161817e-08
