time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.00425444206621924,0.7618106609895198,0.0,0.0,0.0,0.0,0.0,0.4455924422138997,26.798687931795115,0.0,0.0,-1.1102230246251565e-16,0.0,0.08588716040410817
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.7729890269971817,0.0,0.0,0.0,0.0,0.0,0.43661282168887855,26.35309518387786,0.0,0.0,0.0,0.0,0.08588716138385738
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.7767164137751078,0.0,0.0,0.0,0.0,0.0,0.4145854526158885,25.916482061568683,0.0,0.0,0.0,0.0,0.08588716236360658
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.7688223309476276,0.0,0.0,0.0,0.0,0.0,0.39897607117112205,25.501896313313118,0.0,0.0,0.0,0.0,0.08588716334335583
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.7382033511510467,0.0,0.0,0.0,0.0,0.0,0.4098453743110945,25.10291995123166,0.0,0.0,0.0,0.0,0.08588716432310507
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.7103719944034883,0.0,0.0,0.0,0.0,0.0,0.41782212822225806,24.693074290561515,0.0,0.0,-1.1102230246251565e-16,0.0,0.08588716530285431
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.6966514355234097,0.0,0.0,0.0,0.0,0.0,0.418906577165153,24.275251880655485,0.0,0.0,0.0,0.0,0.08588716628260358
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.6899144674631016,0.0,0.0,0.0,0.0,0.0,0.41811669783871314,23.85634502657282,0.0,0.0,-1.1102230246251565e-16,0.0,0.08588716726235285
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.6810851718479008,0.0,0.0,0.0,0.0,0.0,0.4200058761337288,23.43822805659524,0.0,0.0,-1.1102230246251565e-16,0.0,0.08588716824210214
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.6773218978891626,0.0,0.0,0.0,0.0,0.0,0.42735805371129765,23.018221913092265,0.0,0.0,-1.1102230246251565e-16,0.0,0.08588716922185143
