time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0029204076837712916,0.93810099954823,0.0,0.0,0.27063613803763736,2.9421005530460915,0.0,0.0,30.165039053544657,0.0,0.0,1.1102230246251565e-16,0.0,0.016187947364509497
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.9518661473232465,0.0,0.0,0.25773570136281376,2.671461075341853,0.0,0.0,30.165038709439987,0.0,0.0,1.1102230246251565e-16,0.0,0.016187965739955047
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.9564560873715171,0.0,0.0,0.23484577901947926,2.413722341523429,0.0,0.0,30.165038365335324,0.0,0.0,1.1102230246251565e-16,0.0,0.016187984115421456
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.9467352375984821,0.0,0.0,0.22106316452026764,2.178873822615308,0.0,0.0,30.165038021230668,0.0,0.0,1.1102230246251565e-16,0.0,0.016188002490908723
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.9090307303984776,0.0,0.0,0.23901799506366384,1.9578081847899982,0.0,0.0,30.165037677126012,0.0,0.0,0.0,0.0,0.01618802086641685
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.8747589291220876,0.0,0.0,0.24706047473647383,1.7187879673595299,0.0,0.0063747187671848865,30.16503733302136,0.0,0.0,1.1102230246251565e-16,0.0,0.016188039241945836
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.8578633005113729,0.0,0.0,0.022675355318683053,1.4717255415752706,0.0,0.2350193568585068,30.158662270149527,0.0,0.0,0.0,0.0,0.016188057617495675
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.8495673330289928,0.0,0.0,0.023444475414315154,1.4490485156567734,0.0,0.2350193568585068,29.923642569259094,0.0,0.0,0.0,0.0,0.01618807599306638
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.8386948532041921,0.0,0.0,0.02737683791893074,1.425602395384017,0.0,0.2350193568585068,29.688622871049628,0.0,0.0,0.0,0.0,0.01618809436865794
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.8340607213351517,0.0,0.0,0.03559987340680164,1.3982239392210392,0.0,0.2350193568585068,29.453603175521124,0.0,0.0,1.1102230246251565e-16,0.0,0.016188112744270358
