time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.004018226032849597,0.8129649649488213,0.0,0.0,0.0,0.0,0.0,0.39467435428796777,23.034163206338803,0.0,-8.673617379884035e-19,1.1102230246251565e-16,0.0,0.13477642888983607
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.8248939394236602,0.0,0.0,0.0,0.0,0.0,0.3847079092624002,22.63948858929092,0.0,0.0,0.0,0.0,0.13477643042728474
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.8288716139515163,0.0,0.0,0.0,0.0,0.0,0.36243025243947996,22.25478042177082,0.0,0.0,2.220446049250313e-16,0.0,0.1347764319647334
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.8204474567458275,0.0,0.0,0.0,0.0,0.0,0.3473509453729222,21.892349915462155,0.0,0.0,1.1102230246251565e-16,0.0,0.1347764335021821
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.7877724639795625,0.0,0.0,0.0,0.0,0.0,0.3602762614825788,21.544998720354442,0.0,0.0,2.220446049250313e-16,0.0,0.1347764350396308
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.7580722784592285,0.0,0.0,0.0,0.0,0.0,0.37012184416651783,21.184722213099445,0.0,0.0,1.1102230246251565e-16,0.0,0.13477643657707952
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.7434304071384296,0.0,0.0,0.0,0.0,0.0,0.3721276055501332,20.814600127270324,0.0,0.0,1.1102230246251565e-16,0.0,0.13477643811452827
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.7362410630094096,0.0,0.0,0.0,0.0,0.0,0.37179010229240494,20.442472284279724,0.0,0.0,2.220446049250313e-16,0.0,0.13477643965197705
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.726818895051021,0.0,0.0,0.0,0.0,0.0,0.3742721529306087,20.070681948791858,0.0,0.0,0.0,0.0,0.1347764411894258
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.7228029235785496,0.0,0.0,0.0,0.0,0.0,0.38187702802191065,19.696409566906954,0.0,0.0,1.1102230246251565e-16,0.0,0.1347764427268746
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.7236637388814126,0.0,0.0,0.0,0.0,0.0,0.39260306085836305,19.314532314200218,0.0,0.0,1.1102230246251565e-16,0.0,0.13477644426432342
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.718125440598375,0.0,0.0,0.0,0.0,0.0,0.41591456918692254,18.921929033013257,0.0,0.0,1.1102230246251565e-16,0.0,0.13477644580177225
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.7017581567022431,0.0,0.0,0.0,0.0,0.0,0.45490308090484893,18.506014247976324,0.0,0.0,1.1102230246251565e-16,0.0,0.13477644733922112
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.6844515756307776,0.0,0.0,0.0,0.0,0.0,0.4932334422446197,18.051110955965964,0.0,0.0,0.0,0.0,0.13477644887666998
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.14637354385897153,0.6673670051799294,0.0,0.0,0.0,0.0,0.0,0.3751908422291564,17.557877307805104,0.0,-2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.13477645041411884
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.7802065346139933,0.5917845376866534,0.0,0.0,0.0,0.0,0.1781238678813933,0.0,17.18268626528622,0.0,0.0,1.1102230246251565e-16,0.0,0.0660404614562682
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,1.125968033832779,0.4966439895664363,0.0,0.0,0.0,0.0,0.4327148830069976,0.0,17.269966764538324,0.0,0.0,5.551115123125783e-17,0.0,0.06604046220961818
