time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0027286080965939173,0.8175534312778927,0.0,0.0,0.391375505895152,2.4177200680829563,0.0,0.0,28.71245294695307,0.0,0.0,0.0,0.0,2.142878861640016e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.8295497342356036,0.0,0.0,0.1474712141929279,2.026341817761223,0.0,0.23258090025752876,28.712452619418638,0.0,0.0,0.0,0.0,2.1428812940888594e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.83354985920896,0.0,0.0,0.00039213399865156007,1.8788683034069078,0.0,0.3573598731833848,28.479871391626677,0.0,0.0,0.0,0.0,2.1428837265404636e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.8250781551059807,0.0,0.0,0.0,1.8784740366484787,0.0,0.34272024701276904,28.122511193562005,0.0,0.0,0.0,0.0,2.1428813429782684e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.7922187409801557,0.0,0.0,0.0,1.8784719043362457,0.0,0.3558299844819858,27.7797906257445,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428813674229732e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.7623509242492492,0.0,0.0,0.008483325193112293,1.878469772026433,0.0,0.3573598731833848,27.42396032436733,0.0,0.0,0.0,0.0,2.1428910239118437e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.7476264125485487,0.0,0.0,0.010571726956629232,1.8699843145259283,0.0,0.3573598731833848,27.06660013834786,0.0,0.0,0.0,0.0,2.142893456374493e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.7403964909470836,0.0,0.0,0.010274801171346245,1.8594104648940042,0.0,0.3573598731833848,26.709239956404936,0.0,0.0,0.0,0.0,2.1428958888399035e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.7309211432056932,0.0,0.0,0.012810031592551618,1.8491335530500568,0.0,0.3573598731833848,26.35187977853857,0.0,0.0,0.0,0.0,2.142898321308075e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.7268825051354292,0.0,0.0,0.020437573281646144,1.836321422450535,0.0,0.3573598731833848,25.99451960474875,0.0,0.0,1.1102230246251565e-16,0.0,2.1429007537790074e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.7277481789773476,0.0,0.0,0.031158747579043303,1.8158817647053527,0.0,0.3573598731833848,25.637159435035485,0.0,0.0,0.0,0.0,2.1429031862527016e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.7221786219115977,0.0,0.0,0.054501514690315146,1.784720955864442,0.0,0.3573598731833848,25.279799269398765,0.0,0.0,0.0,0.0,2.1429056187291565e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.7057189592115889,0.0,0.0,0.09358240521211837,1.730217415283828,0.0,0.3573598731833848,24.9224391078386,0.0,0.0,0.0,0.0,2.1429080512083726e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.6883146978366151,0.0,0.0,0.13201044685539737,1.6366330460500151,0.0,0.3573598731833848,24.56507895035498,0.0,0.0,-1.1102230246251565e-16,0.0,2.14291048369035e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.09939611003353531,0.6711337001353439,0.0,0.0,0.061041707915793414,1.5046207414033481,0.0,0.3573598731833848,24.207718796947916,0.0,0.0,-1.1102230246251565e-16,0.0,2.1429129161750888e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.5298054041657515,0.5951246366359498,0.0,0.0,0.0,1.4435773255474127,0.0,0.06893716361755213,23.850358647617394,0.0,0.0,0.0,0.0,2.142881636314746e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.7645974787145712,0.4994471044876368,0.0,0.07414744280999024,0.0,1.4435756868994831,0.0,0.0,23.781421211929263,0.0,0.0,0.0,0.0,1.9286260030375642e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.7889961527329942,0.43664570596070273,0.0,0.04489256809840299,0.0,1.5103067467824047,0.0,0.0,23.781420940645077,0.0,0.0,0.0,0.0,1.9286281922812838e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.7403122270515872,0.4255539400883214,0.0,0.0014575230334554843,0.0,1.55070834367647,0.0,0.0,23.781420669360894,0.0,0.0,0.0,0.0,1.9286303815274888e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.7136131635260122,0.4364895526940499,0.0,0.0,0.0,1.5520183541510177,0.0,0.0017319171168361344,23.781420398076715,0.0,-1.1102230246251565e-16,0.0,0.0,2.1428817340935814e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.7354945939245281,0.4507422117959106,0.0,0.0435371740768169,0.0,1.5520165924084235,0.0,0.0,23.779688209675705,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,1.9286347600273545e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.7671969333438178,0.4594052981297256,0.0,0.07081038221325653,0.0,1.5911982873369641,0.0,0.0,23.77968793841129,0.0,0.0,0.0,0.0,1.9286369492810148e-08
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.6739515491395389,0.47451418919192095,0.0,0.0,0.0,1.6549258251119832,0.0,0.05796905280552479,23.779687667146874,0.0,-1.1102230246251565e-16,0.0,0.0,2.1428818074277104e-08
