time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.004144673096668943,0.7495403728044254,0.0,0.0,0.0,0.0,0.0,0.45797249936854423,28.75725313763873,0.0,8.673617379884035e-19,0.0,0.0,2.1428590739678854e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.7605386917487209,0.0,0.0,0.0,0.0,0.0,0.4490631569373393,28.299280310224695,0.0,0.0,1.1102230246251565e-16,0.0,2.1428590984123358e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.7642060424674469,0.0,0.0,0.0,0.0,0.0,0.42709582392354944,27.850216830466145,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428591228567872e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.7564391075997031,0.0,0.0,0.0,0.0,0.0,0.4113592945190467,27.42312068884403,0.0,0.0,0.0,0.0,2.142859147301239e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.7263132998277163,0.0,0.0,0.0,0.0,0.0,0.421735425634425,27.011761081498477,0.0,0.0,0.0,0.0,2.1428591717456902e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6989302155779871,0.0,0.0,0.0,0.0,0.0,0.4292639070477593,26.590025347730087,0.0,0.0,0.0,0.0,2.1428591961901423e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.6854306502073725,0.0,0.0,0.0,0.0,0.0,0.4301273624811903,26.160761137359273,0.0,0.0,-1.1102230246251565e-16,0.0,2.142859220634595e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.67880219275715,0.0,0.0,0.0,0.0,0.0,0.42922897254466474,25.730633476451818,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428592450790473e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.6701151083332828,0.0,0.0,0.0,0.0,0.0,0.43097593964834685,25.30140421038752,0.0,0.0,0.0,0.0,2.1428592695235007e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.6664124484593267,0.0,0.0,0.0,0.0,0.0,0.43826750314113355,24.870427982115935,0.0,0.0,0.0,0.0,2.1428592939679537e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.6672061060593985,0.0,0.0,0.0,0.0,0.0,0.4490606936803772,24.432160195267883,0.0,0.0,0.0,0.0,2.142859318412407e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.6620998858177531,0.0,0.0,0.0,0.0,0.0,0.47194012396754437,23.983099222880078,0.0,0.0,1.1102230246251565e-16,0.0,2.142859342856861e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.6470095183330057,0.0,0.0,0.0,0.0,0.0,0.5096517192740864,23.511158825327726,0.0,0.0,0.0,0.0,2.1428593673013147e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.6310531342481233,0.0,0.0,0.0,0.0,0.0,0.5466318836272739,23.00150683785245,0.0,0.0,1.1102230246251565e-16,0.0,2.1428593917457687e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.15097968216241425,0.6153014403165918,0.0,0.0,0.0,0.0,0.0,0.4226502687890514,22.454874691837784,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428594161902237e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.8047583703415231,0.5456156441200054,0.0,0.0,0.0,0.0,0.15650681004227507,0.0,22.032224166896995,0.0,0.0,0.0,0.0,1.0500011259109925e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,1.1614004238149898,0.4578976181515257,0.0,0.0,0.0,0.0,0.42940090157429756,0.0,22.108912252487315,0.0,0.0,0.0,0.0,1.0500011378887753e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,1.1984612710377132,0.40032072853962547,0.0,0.0,0.0,0.0,0.41803270898204464,0.0,22.319318442053515,0.0,0.0,0.0,0.0,1.0500011498665586e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,1.1245118617165886,0.39015169736811034,0.0,0.0,0.0,0.0,0.3502549149782458,0.0,22.524154214849325,0.0,0.0,0.0,0.0,1.0500011618443418e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,1.0839567924712692,0.40017756581383435,0.0,0.0,0.0,0.0,0.3322997249482053,0.0,22.695778866246624,0.0,0.0,0.0,0.0,1.0500011738221252e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,1.1171940228388588,0.41324453245840576,0.0,0.0,0.0,0.0,0.3877389236536429,0.0,22.85860547257142,0.0,2.220446049250313e-16,0.0,0.0,1.0500011857999089e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,1.1653489167045692,0.421186928284615,0.0,0.0,0.0,0.0,0.4307439957288972,0.0,23.048597284404444,0.0,0.0,0.0,0.0,1.0500011977776923e-08
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,1.0237120008783422,0.4350388961269101,0.0,0.0,0.0,0.0,0.2523161058682676,0.0,23.259661579387036,0.0,0.0,-5.551115123125783e-17,0.0,1.0500012097554763e-08
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.39431694265461065,0.5027865659021041,0.0,0.0,0.0,0.0,0.0,0.3585480849521101,23.383296205930222,0.0,0.0,1.1102230246251565e-16,0.0,2.1428596361903274e-08
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.0038145202104036594,0.5616963865016649,0.0,0.0,0.0,0.0,0.0,0.7194215150091018,23.0247478542355,0.0,0.0,0.0,0.0,2.1428596606347844e-08
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.584545073962689,0.0,0.0,0.0,0.0,0.0,0.7074923490754743,22.30532607657389,0.0,0.0,0.0,0.0,2.142859685079242e-08
26.0,1.2783135069921694,0.0,0.211895965,0.0,0.0,0.0,0.5863992100352108,0.0,0.0,0.0,0.0,0.0,0.6919142969569586,21.59783347305264,0.0,0.0,0.0,0.0,2.1428597095237e-08
27.0,1.2484545141156926,0.0,0.214355818,0.0,0.0,0.0,0.5932065876839675,0.0,0.0,0.0,0.0,0.0,0.6552479264317251,20.905918929720556,0.0,0.0,0.0,0.0,2.1428597339681583e-08
28.0,1.2128866805185698,0.0,0.221920502,0.0,0.0,0.0,0.6141410340844262,0.0,0.0,0.0,0.0,0.0,0.5987456464341435,20.25067076480665,0.0,0.0,1.1102230246251565e-16,0.0,2.142859758412617e-08
29.0,1.1863382156818976,0.0,0.228137587,0.0,0.0,0.0,0.6313461457189106,0.0,0.0,0.0,0.0,0.0,0.5549920699629869,19.651924887365,0.0,0.0,0.0,0.0,2.1428597828570753e-08
30.0,1.161374350295067,0.0,0.239214475,0.0,0.0,0.0,0.6620002375646356,0.0,0.0,0.0,0.0,0.0,0.49937411273043164,19.096932593224647,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428598073015346e-08
31.0,1.1492864261135043,0.0,0.255139109,0.0,0.0,0.0,0.7060699431755934,0.0,0.0,0.0,0.0,0.0,0.443216482937911,18.597558262647865,0.0,0.0,0.0,0.0,2.1428598317459935e-08
32.0,1.14937208013782,0.0,0.27224264,0.0,0.0,0.0,0.7534021189780572,0.0,0.0,0.0,0.0,0.0,0.39596996115976274,18.154341567560166,0.0,0.0,1.1102230246251565e-16,0.0,2.1428598561904532e-08
33.0,1.163723411911927,0.0,0.284032874,0.0,0.0,0.0,0.786030318876674,0.0,0.0,0.0,0.0,0.0,0.377693093035253,17.75837139930657,0.0,0.0,0.0,0.0,2.142859880634913e-08
