case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
engpgp1000pwrpgp0100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.696623590590411,2.5627023812872394,0.0,0.0,601.2087181562791,0.9876613462773874,0.9259973468452658,0.07633066731607012,optimal,0.0,0.0,0.19152765850013515,0.9263506137883696,0.0,0.0,0.0,0.0,0.2311279184695111,0.1132496461810063,265.95622557240546,0.0,1.2414766133707253e-17,0.005374177182248425,0.0
engpgp1000pwrpgp0067,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.5241865655447001,2.7146839533516514,0.0,0.0,668.9158733623455,1.1125454482220123,0.9986866128754888,0.0737939657643041,optimal,0.0,0.0,0.14411832569568164,0.9841575259258764,0.0,0.0,0.0,0.0,0.25151460688673377,0.12323875526517591,298.2370493111309,0.0,1.0031639874645202e-17,0.002823388228258871,0.0
engpgp1000pwrpgp0050,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.500922652010514,2.7346544064040197,0.0,0.0,678.9062484594228,1.1593246044143477,1.0100166230192904,0.0724589941395379,optimal,0.0,0.0,0.13772221315091995,0.9922266724472755,0.0,0.0,0.0,0.0,0.25479496394224754,0.12484607834405202,302.7848275526019,0.0,9.340509040569706e-18,0.0020149233730857056,0.0
engpgp1000pwrpgp0010,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.12606659244481655,3.0957641781050387,0.0,0.0,822.0103839860351,1.5394709402354858,1.2490623993642127,0.06890387687335632,optimal,0.0,0.0,0.034660381290824036,1.1254184042565898,0.0,0.0,0.0,0.0,0.31387160062177255,0.15379281507435863,374.25095120035996,0.0,2.9341525564572973e-18,0.00011230613765296215,0.0
engpgp1000pwrpgp0007,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
engpgp1000pwrpgp0000,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.0,3.224027754434815,0.0,0.0,869.8105552856931,1.732316150469552,1.3300006067967347,0.06785109463475195,optimal,0.0,0.0,0.0,1.172163653305459,0.0,0.0,0.0,0.0,0.33756686575029204,0.16540321244483333,399.01930325794046,0.0,0.0,-6.251341402926467e-18,0.0
engpgp17600pwrpgp1100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.1562659119648135,2.7506516746343017,0.0,2.038739952288014,254.9740711189464,0.1185931370887572,0.4465806121840514,0.13021858520260676,optimal,0.0,0.0,0.31790037792784515,0.730090490039479,0.0,0.02723921461894518,0.024514848828225588,0.3914343071495967,0.08875538238895521,0.04348888021235062,110.20550122998714,0.0,3.027174090515939e-17,0.2699672518565236,0.0
engpgp17600pwrpgp1000,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.1248525960581848,2.685990109522848,0.0,1.944360893154492,280.9740154376546,0.13957598068061733,0.4680395471299046,0.12714223077213702,optimal,0.0,0.0,0.3092636924601273,0.7441872827238191,0.0,0.02867343151829131,0.02580560798472965,0.42319534549171484,0.09917996060226458,0.04859680895187987,120.25029601954579,0.0,-3.3999153383473865e-17,0.2323613760741141,0.0
engpgp17600pwrpgp0900,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.104172612606969,2.6420370692501325,0.0,1.8864589978003516,301.1509854015194,0.1578646119059469,0.4822237136475374,0.12395075583778735,optimal,0.0,0.0,0.3035779981171092,0.7536194867935904,0.0,0.029061570934517854,0.026154925394396147,0.43030020343528635,0.10644974279803106,0.052158903427453336,128.91137145365883,0.0,1.54755180816518e-17,0.2069491122207136,0.0
engpgp17600pwrpgp0800,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0835173481279565,2.597545701518702,0.0,1.830430615622874,322.8072380487505,0.180812610798988,0.4964153867430201,0.12061752803972195,optimal,0.0,0.0,0.29789909993622293,0.7632091470813378,0.0,0.02881291108878474,0.02593111175917319,0.4477202902573609,0.1141664072472671,0.0559399595593178,138.5058680921331,0.0,4.341848059084007e-17,0.1811836717868759,0.0
