time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0030177907171711044,0.5758970596537775,0.0,0.0,0.0,0.0,0.0,0.6327426948986901,57.07829102168773,0.0,0.0,0.0,0.0,2.1428955698437026e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.5843474377400917,0.0,0.0,0.0,0.0,0.0,0.6252544109459687,56.44554767567415,0.0,0.0,-1.1102230246251565e-16,0.0,2.14289559428857e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.5871651865529157,0.0,0.0,0.0,0.0,0.0,0.6041366798380806,55.82029262083123,0.0,0.0,0.0,0.0,2.1428956187334375e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.5811975894558836,0.0,0.0,0.0,0.0,0.0,0.5866008126628661,55.21615530422875,0.0,0.0,0.0,0.0,2.142895643178305e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.5580509188493772,0.0,0.0,0.0,0.0,0.0,0.5899978066127641,54.62955386169311,0.0,0.0,0.0,0.0,2.1428956676231733e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.5370115749049442,0.0,0.0,0.0,0.0,0.0,0.591182547720802,54.039555431899174,0.0,0.0,0.0,0.0,2.142895692068042e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.5266394051251458,0.0,0.0,0.0,0.0,0.0,0.5889186075634169,53.44837226772754,0.0,0.0,0.0,0.0,2.1428957165129105e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5215465384909701,0.0,0.0,0.0,0.0,0.0,0.5864846268108446,52.85945305045716,0.0,0.0,0.0,0.0,2.1428957409577794e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5148719595647531,0.0,0.0,0.0,0.0,0.0,0.5862190884168764,52.27296782065739,0.0,0.0,0.0,0.0,2.1428957654026487e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.5120270815412638,0.0,0.0,0.0,0.0,0.0,0.5926528700591964,51.68674813594186,0.0,0.0,0.0,0.0,2.142895789847518e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.5126368753493585,0.0,0.0,0.0,0.0,0.0,0.6036299243904171,51.09409467627125,0.0,0.0,0.0,0.0,2.142895814292388e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.5087135947232523,0.0,0.0,0.0,0.0,0.0,0.6253264150620453,50.49046416903006,0.0,0.0,0.0,0.0,2.1428958387372578e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.4971191582140549,0.0,0.0,0.0,0.0,0.0,0.6595420793930372,49.865137178003096,0.0,0.0,-5.551115123125783e-17,0.0,2.1428958631821284e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.4848593320451077,0.0,0.0,0.0,0.0,0.0,0.6928256858302895,49.20559452977849,0.0,0.0,0.0,0.0,2.1428958876269986e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.10993028224044052,0.47275677620039114,0.0,0.0,0.0,0.0,0.0,0.6062443328272257,48.512768282640295,0.0,0.0,-5.551115123125783e-17,0.0,2.1428959120718695e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.5859551001825074,0.41921483691953276,0.0,0.0,0.0,0.0,0.0,0.18869726731721317,47.90652339640852,0.0,1.1102230246251565e-16,0.0,0.0,2.1428959365167408e-08
