time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0032076014074271346,0.9807434009504891,0.0,0.0,0.22770654291172251,3.169878977843979,0.0,0.0,10.016555567280681,0.0,4.336808689942018e-19,0.0,0.0,2.1428388448653073e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.995134258491369,0.0,0.0,0.21446759019469125,2.9421688367075323,0.0,0.0,10.016555453017824,0.0,0.0,0.0,0.0,2.1428412772687265e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.999932839257478,0.0,0.0,0.1913690271335183,2.7276979067687295,0.0,0.0,10.016555338754971,0.0,0.0,0.0,0.0,2.1428437096749068e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.9897701176836535,0.0,0.0,0.17802828443509622,2.5363257833434862,0.0,0.0,10.016555224492118,0.0,0.0,0.0,0.0,2.1428461420838476e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.9503517110938484,0.0,0.0,0.19769701436829293,2.3582946198489037,0.0,0.0,10.016555110229264,0.0,0.0,0.0,0.0,2.1428485744955502e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.9145220478095191,0.0,0.0,0.2136720748162273,2.160594928509639,0.0,0.0,10.016554995966413,0.0,0.0,0.0,0.0,2.142851006910014e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.8968584100212119,0.0,0.0,0.2186996026673508,1.9469204011372905,0.0,0.0,10.016554881703563,0.0,0.0,0.0,0.0,2.1428534393272385e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.8881853403125533,0.0,0.0,0.21984582498926142,1.7282185884621848,0.0,0.0,10.016554767440715,0.0,0.0,0.0,0.0,2.142855871747224e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.876818640090215,0.0,0.0,0.22427240789141456,1.508370801720157,0.0,0.0,10.016554653177867,0.0,0.0,0.0,0.0,2.142858304169971e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.8719738587160513,0.0,0.0,0.23270609288440888,1.2840966816317942,0.0,0.0,10.016554538915022,0.0,0.0,0.0,0.0,2.1428607365954788e-08
