time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0034183001960753547,0.9348773014778364,0.0,0.0,0.27336194359572696,3.0249404690326784,0.0,0.0,13.090132404279968,0.0,-4.336808689942018e-19,-1.1102230246251565e-16,0.0,2.142840079096629e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.9485951465846515,0.0,0.0,0.2610067021014088,2.7515750917362767,0.0,0.0,13.090132254955591,0.0,0.0,0.0,0.0,2.142842511501449e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.9531693137247981,0.0,0.0,0.23813255266619818,2.490565266239434,0.0,0.0,13.090132105631216,0.0,0.0,1.1102230246251565e-16,0.0,2.1428449439090305e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.9434818687607027,0.0,0.0,0.22431653335804702,2.252429886457885,0.0,0.0,13.090131956306843,0.0,0.0,0.0,0.0,2.142847376319373e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.9059069296425618,0.0,0.0,0.24214179581957965,2.028110796299101,0.0,0.0,13.090131806982473,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428498087324757e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.871752900268874,0.0,0.0,0.2564412223568723,1.7859666983101135,0.0,0.0,13.090131657658102,0.0,0.0,0.0,0.0,2.1428522411483404e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.8549153319367185,0.0,0.0,0.2606426807518442,1.5295234486488631,0.0,0.0,13.090131508333734,0.0,0.0,0.0,0.0,2.142854673566966e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.8466478727859336,0.0,0.0,0.26138329251588105,1.2688790316890664,0.0,0.0,13.090131359009368,0.0,0.0,1.1102230246251565e-16,0.0,2.1428571059883527e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.8358127552411525,0.0,0.0,0.2285086551133602,1.0074942988305302,0.0,0.03676963762711703,13.090131209685001,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428595384125004e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.831194548141376,0.0,0.0,0.060570202223148926,0.7789845000801666,0.0,0.21291520123593516,13.053361422733522,0.0,0.0,0.0,0.0,2.1428619708394096e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.8321844514239389,0.0,0.0,0.0711671470799015,0.718413413608342,0.0,0.21291520123593516,12.840446072592671,0.0,0.0,0.0,0.0,2.14286440326908e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.8258156291783808,0.0,0.0,0.09530917937098164,0.6472454510358224,0.0,0.21291520123593516,12.62753072488063,0.0,0.0,0.0,0.0,2.1428668357015106e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.8069939051668169,0.0,0.0,0.13675213120434004,0.551935536957112,0.0,0.21291520123593516,12.414615379597402,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428692681367028e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.7870920268479674,0.0,0.0,0.17767778979149465,0.4151827792341858,0.0,0.21291520123593516,12.201700036742984,0.0,0.0,0.0,0.0,2.1428717005746568e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.12451980291375885,0.7674454518925481,0.0,0.0,0.08405093522581523,0.23750451815626297,0.0,0.21291520123593516,11.988784696317374,0.0,0.0,0.0,0.0,2.1428741330153713e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.6637207883397613,0.6805286273113086,0.0,0.1503822112318166,0.0,0.15345331333194404,0.0,0.0,11.775869358320577,0.0,1.1102230246251565e-16,0.0,0.0,1.928588908912962e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.9578596921526729,0.571120789676694,0.0,0.339083341437149,0.0,0.28879712925111944,0.0,0.0,11.775869223988526,0.0,0.0,0.0,0.0,1.9285910981145758e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.9884254565382815,0.4993070100046743,0.0,0.3069831759476619,0.0,0.5939718087222682,0.0,0.0,11.775869089656474,0.0,0.0,0.0,0.0,1.928593287318674e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.9274360191360372,0.4866235085346999,0.0,0.249650883564284,0.0,0.8702559928399447,0.0,0.0,11.775868955324423,0.0,0.0,0.0,0.0,1.9285954765252568e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.8939884111052517,0.4991284477982663,0.0,0.24128222556661982,0.0,1.0949408001941152,0.0,0.0,11.775868820992377,0.0,0.0,0.0,0.0,1.9285976657343254e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.9214006649628226,0.5154264498251235,0.0,0.29412748314432435,0.0,1.3120935603039223,0.0,0.0,11.77586868666033,0.0,1.1102230246251565e-16,0.0,0.0,1.9285998549458786e-08
