time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0032462616296182684,0.6616339790308611,0.0,0.0,0.0,0.0,0.0,0.5467773046091593,44.45903734529075,0.0,0.0,0.0,0.0,2.1428648917550713e-08
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6713424107442031,0.0,0.0,0.0,0.0,0.0,0.5382594379418572,43.91225953351957,0.0,0.0,1.1102230246251565e-16,0.0,2.142864916199589e-08
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6745796531084186,0.0,0.0,0.0,0.0,0.0,0.5167222132825777,43.373999594653,0.0,0.0,0.0,0.0,2.142864940644106e-08
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6677236274587373,0.0,0.0,0.0,0.0,0.0,0.5000747746600125,42.85727688658586,0.0,0.0,0.0,0.0,2.142864965088624e-08
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6411309864337831,0.0,0.0,0.0,0.0,0.0,0.5069177390283582,42.35720162303574,0.0,0.0,0.0,0.0,2.1428649895331418e-08
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.616959401222838,0.0,0.0,0.0,0.0,0.0,0.5112347214029084,41.850283400821844,0.0,0.0,1.1102230246251565e-16,0.0,2.1428650139776606e-08
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.6050430702613335,0.0,0.0,0.0,0.0,0.0,0.5105149424272292,41.33904820201601,0.0,0.0,0.0,0.0,2.1428650384221795e-08
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5991920009437216,0.0,0.0,0.0,0.0,0.0,0.5088391643580932,40.82853278801772,0.0,0.0,0.0,0.0,2.1428650628666984e-08
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5915237412447341,0.0,0.0,0.0,0.0,0.0,0.5095673067368957,40.31969315791222,0.0,0.0,0.0,0.0,2.1428650873112176e-08
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.5882553307970919,0.0,0.0,0.0,0.0,0.0,0.5164246208033683,39.81012539123246,0.0,0.0,1.1102230246251565e-16,0.0,2.1428651117557368e-08
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.5889559079173863,0.0,0.0,0.0,0.0,0.0,0.5273108918223894,39.29370031629906,0.0,0.0,-1.1102230246251565e-16,0.0,2.1428651362002566e-08
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.5844485472215946,0.0,0.0,0.0,0.0,0.0,0.5495914625637031,38.76638897623772,0.0,0.0,0.0,0.0,2.1428651606447768e-08
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5711279840521752,0.0,0.0,0.0,0.0,0.0,0.5855332535549167,38.2167970714503,0.0,0.0,1.1102230246251565e-16,0.0,2.1428651850892973e-08
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5570429710547766,0.0,0.0,0.0,0.0,0.0,0.6206420468206206,37.6312633819411,0.0,0.0,0.0,0.0,2.142865209533818e-08
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.11825288451572073,0.543138642067931,0.0,0.0,0.0,0.0,0.0,0.5275398646844055,37.0106209058456,0.0,0.0,1.1102230246251565e-16,0.0,2.1428652339783387e-08
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.630316591398592,0.4816256238338734,0.0,0.0,0.0,0.0,0.0,0.08192498918678813,36.48308061896624,0.0,-1.1102230246251565e-16,0.0,0.0,2.14286525842286e-08
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.9096518698864571,0.40419520292524397,0.0,0.0,0.0,0.0,0.1239499324194832,0.0,36.40115521360236,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,1.050003988605017e-08
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.9386792994313743,0.35337095388364886,0.0,0.0,0.0,0.0,0.11130096271972915,0.0,36.461890265245366,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,1.0500040005828327e-08
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.8807593804382366,0.3443945507424481,0.0,0.0,0.0,0.0,0.06074528707423162,0.0,36.51642732104266,0.0,0.0,0.0,0.0,1.0500040125606484e-08
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.8489951466598475,0.35324458133941933,0.0,0.0,0.0,0.0,0.05040509466236858,0.0,36.54619209515155,0.0,-1.1102230246251565e-16,0.0,0.0,1.0500040245384643e-08
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.87502777772641,0.36477904892595336,0.0,0.0,0.0,0.0,0.09710719500874156,0.0,36.57089017463907,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,1.0500040365162803e-08
21.0,1.1557918492602868,0.568797545,0.152196335,0.0,0.0,0.9127444759046648,0.37178995740293286,0.0,0.0,0.0,0.0,0.12874258404731076,0.0,36.618472283014576,0.0,0.0,5.551115123125783e-17,0.0,1.0500040484940966e-08
22.0,1.2064347911369846,0.499665692,0.157201758,0.0,0.0,0.8018091923587357,0.3840173609337319,0.0,0.0,0.0,0.0,0.0,0.02060823784451708,36.6815557314762,0.0,0.0,-5.551115123125783e-17,0.0,2.1428654295345164e-08
23.0,1.255651593508825,0.192462966,0.181682449,0.0,0.0,0.3088436484597122,0.44381955698585335,0.0,0.0,0.0,0.0,0.0,0.5029883880632594,36.660947075190506,0.0,0.0,5.551115123125783e-17,0.0,2.14286545397904e-08
24.0,1.2849324217211704,0.001861837,0.202969574,0.0,0.0,0.0029876736489516903,0.49582041033742,0.0,0.0,0.0,0.0,0.0,0.7861243377347987,36.157958268921156,0.0,0.0,5.551115123125783e-17,0.0,2.1428654784235634e-08
25.0,1.2920374230381633,0.0,0.211225971,0.0,0.0,0.0,0.5159893946229596,0.0,0.0,0.0,0.0,0.0,0.7760480284152038,35.37183351871806,0.0,0.0,0.0,0.0,2.1428655028680875e-08
