case name,Nuclear,Nuclear_batt,Nuclear_PGP,Natgas,Natgas_CCS,Solar_expbatt,Wind_expbatt,SolarWind_expbatt,Solar_PGP,Solar_batt,Solar_PGPbatt,Wind_PGP,Wind_batt,Wind_PGPbatt,SolarWind_PGP,SolarWind_batt,SolarWind_PGPbatt
storage charging time (h),6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008,6.008
storage decay rate (1/h)),1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06
fixed cost storage2 ($/kWh/h),-1.0,-1.0,-1.0,-1.0,-1.0,0.0162423,0.0162423,0.0162423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
var cost storage2 ($/kWh/h),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
storage2 charging efficiency,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.9,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
storage2 charging time (h),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
storage2 decay rate (1/h)),1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06,1.13513e-06
fixed cost pgp storage ($/kWh/h),-1.0,-1.0,1.47092e-06,-1.0,-1.0,-1.0,-1.0,-1.0,1.47092e-06,-1.0,1.47092e-06,1.47092e-06,-1.0,1.47092e-06,1.47092e-06,-1.0,1.47092e-06
fixed cost to pgp storage ($/kW/h),1.0,1.0,0.0148027,1.0,1.0,1.0,1.0,1.0,0.0148027,1.0,0.0148027,0.0148027,1.0,0.0148027,0.0148027,1.0,0.0148027
fixed cost from pgp storage ($/kW/h),-1.0,-1.0,0.0630376,-1.0,-1.0,-1.0,-1.0,-1.0,0.0630376,-1.0,0.0630376,0.0630376,-1.0,0.0630376,0.0630376,-1.0,0.0630376
var cost to pgp storage ($/kW/h),-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
