time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),solar2 capacity factor (-),wind2 capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch solar2 (kW),dispatch wind2 (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to storage2 (kW),dispatch from storage2 (kW),energy storage2 (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch to csp storage (kW),dispatch from csp storage (kW),energy csp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment solar2 (kW),cutailment wind2 (kW),cutailment csp (kW),cutailment nuclear (kW),price ($/kWh)
24,1.284932422,0,0.202969574,0,0,0,0,0,0.675367351,0,0,0,0,0,0,0,0,0,0,0.609565071,237.4742577,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306844
25,1.292037423,0,0.211225971,0,0,0,0,0,0.702839946,0,0,0,0,0,0,0,0,0,0,0.589197477,236.8646899,0,0,0,0,0,0,0,0,0,0,0.104306845
26,1.278313507,0,0.211895965,0,0,0,0,0,0.705069305,0,0,0,0,0,0,0,0,0,0,0.573244202,236.2754897,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306847
27,1.248454514,0,0.214355818,0,0,0,0,0,0.713254297,0,0,0,0,0,0,0,0,0,0,0.535200217,235.7022428,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306848
28,1.212886681,0,0.221920502,0,0,0,0,0,0.738425265,0,0,0,0,0,0,0,0,0,0,0.474461415,235.1670399,0,0,0,0,0,0,0,0,0,0,0.104306849
29,1.186338216,0,0.228137587,0,0,0,0,0,0.759112189,0,0,0,0,0,0,0,0,0,0,0.427226026,234.6925758,0,0,0,0,0,0,0,0,0,0,0.10430685
30,1.16137435,0,0.239214475,0,0,0,0,0,0.795969775,0,0,0,0,0,0,0,0,0,0,0.365404575,234.2653471,0,0,0,0,0,0,0,0,0,0,0.104306851
31,1.149286426,0,0.255139109,0,0,0,0,0,0.848957904,0,0,0,0,0,0,0,0,0,0,0.300328522,233.8999398,0,0,0,0,0,0,0,0,0,0,0.104306852
32,1.14937208,0,0.27224264,0,0,0,0,0,0.905868731,0,0,0,0,0,0,0,0,0,0,0.243503349,233.5996087,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306854
33,1.163723412,0,0.284032874,0,0,0,0,0,0.945099927,0,0,0,0,0,0,0,0,0,0,0.218623485,233.3561026,0,0,0,0,0,0,0,0,0,0,0.104306855
34,1.197220559,0,0.297730735,0,0,0,0,0,0.990678621,0,0,0,0,0,0,0,0,0,0,0.206541938,233.1374765,0,0,0,0,0,-1.11E-16,0,0,0,0,0.104306856
35,1.254034874,0,0.312481376,0,0,0,0,0,1.039760368,0,0,0,0,0,0,0,0,0,0,0.214274505,232.9309319,0,0,0,0,0,0,0,0,0,0,0.104306857
