case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
pgp1000batt0400,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0016957,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0480401726462962,2.4726131042192407,0.0,4.044752625318005,375.35319014292895,0.2196274895266341,0.4671623075191994,0.11408082277839494,optimal,0.0,0.0,0.28814510876799115,0.7780546087467741,0.0,0.04224057663864839,0.03801518253285942,1.1773470211741692,0.12151464598196175,0.05954032257298532,162.5224128154598,0.0,3.672516349904285e-18,0.12091631526770001,0.0
pgp1000batt0350,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0014837375,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0844621758932236,2.4426836473439164,0.0,5.313892829484852,363.93191324102366,0.19957869697482497,0.4387758330236336,0.1131818885210848,optimal,0.0,0.0,0.29815886812669457,0.7653546804581293,0.0,0.04873247154918433,0.04385746769794325,1.5475728089804754,0.11497399863787641,0.05633545390429369,158.26816468929508,0.0,2.8108195935433407e-17,0.12273475487679783,0.0
pgp1000batt0300,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.001271775,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.1208296400270545,2.381169522509357,0.0,6.785934365888375,368.05304226633467,0.19844018091370888,0.41243883573077134,0.11178158617294535,optimal,0.0,0.0,0.3081576326606904,0.7551311715821356,0.0,0.055585269316941945,0.0500243930917255,2.069625084578621,0.11318845303487439,0.05546052501726462,159.27992530460756,0.0,5.830455342344501e-17,0.1105934993065853,0.0
pgp1000batt0250,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0010598125,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.126945811453999,2.3940189363356397,0.0,6.9746392520730485,358.98869710483416,0.18683354376492625,0.405650338289052,0.11032918641399676,optimal,0.0,0.0,0.3098391949968085,0.7518490133135589,0.0,0.05570548240238706,0.05013256732716074,2.085078350162892,0.11002650112543266,0.05391120789029148,155.83403463361216,0.0,-3.2878585469725876e-17,0.1185473344342497,0.0
pgp1000batt0200,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00084785,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.1870544625933304,2.285045513868672,0.0,11.153635774011622,367.29806217120665,0.185141460638039,0.35815966166629815,0.10845151828395988,optimal,0.0,0.0,0.3263652922519423,0.7351565227982475,0.0,0.07006905703675835,0.06305806270030037,3.6019070786327645,0.10688042734503911,0.0523696066313073,158.03493854786322,0.0,7.047241609143534e-18,0.0956202265089538,0.0
pgp1000batt0150,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0006358875,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.1894876882021748,2.2909142367344346,0.0,11.164385585061812,363.4564592166296,0.1810641625384714,0.35631313339843956,0.10608617547279083,optimal,0.0,0.0,0.3270342762050547,0.7339105805308571,0.0,0.06956869394701744,0.06260778517964263,3.5585110719207553,0.10584737551773667,0.05186342754919962,156.60487819403022,0.0,-4.0847837114024616e-17,0.09899986741622323,0.0
pgp1000batt0100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.000423925,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.3317041542893115,2.1745598359702556,0.0,13.746331524766537,333.68341868362774,0.15887917567474572,0.32703961980851937,0.1033036091573952,optimal,0.0,0.0,0.3661348566587654,0.6915458767655388,0.0,0.0811293040599184,0.0730114446329194,4.342252435563126,0.09717896347490158,0.047616089477596484,140.48995405067527,0.0,-2.5618832545319315e-18,0.09906146157266774,0.0
pgp1000batt0067,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00028261666807975,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.577517369160313,1.944381776089328,0.0,27.70703516435621,291.2099580858314,0.12475934983475805,0.24816072654057617,0.10038834499436897,optimal,0.0,0.0,0.4337180251138153,0.619461308444311,0.0,0.11480552144201055,0.10331326264874625,10.313047019531917,0.0817366028249447,0.040049528060082606,123.36940382802534,0.0,4.3164842993177526e-17,0.08745991546462041,0.0
pgp1000batt0050,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.0002119625,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.604168674788904,1.94062713821273,0.0,28.4514356338128,279.17858921898994,0.11533781487124387,0.23973245142749275,0.09840522366761663,optimal,0.0,0.0,0.4410454573626849,0.6105644485082389,0.0,0.11633600129401903,0.10469005884656293,10.87304366392034,0.07835803230960696,0.038394068886139276,119.82972151370157,0.0,1.3649918402730735e-17,0.09499169718627012,0.0
pgp1000batt0020,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,8.4785e-05,1.47092e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,2.534028823928248,1.294095969995849,0.0,61.494255787766946,109.30481622279719,0.05422369631785822,0.07079864583341866,0.09276498300481152,optimal,0.0,0.0,0.6549684268503143,0.38715725841252085,0.0,0.23500113543414056,0.21147795180623252,20.323737804527976,0.03647429941934825,0.017871797784421,53.3803547120521,0.0,0.04173006825446692,0.08333877185013512,0.0
