case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
pgp0000batt0000,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,4.24e-11,1.47e-14,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.0,2.8149265821714957,0.0,1053.8820206596326,0.0,0.0,0.0,0.05798754302330608,optimal,0.0,0.0,0.0,1.0234262474341551,0.0,0.2288428154029233,0.2054165679687681,475.40867884584344,0.0,0.0,0.0,0.0,0.0,4.5589166637611484e-17,0.0
pgp0250batt0000,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,4.24e-11,3.675e-07,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,0.0,2.8149265821714957,0.0,1053.8820206596326,0.0,0.0,0.0,0.05798754302330608,optimal,0.0,0.0,0.0,1.0234262474341551,0.0,0.2288428154029233,0.2054165679687681,475.40867884584344,0.0,0.0,0.0,0.0,0.0,4.6739312065519396e-17,0.0
pgp0150batt0010,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,4.24e-05,2.2049999999999997e-07,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.9418751888350398,1.55601942824144,0.0,293.7012950019781,0.0,0.0,0.0,0.08703401218767277,optimal,0.0,0.0,0.5338935015133013,0.4841326526679945,0.0,0.1792446667739932,0.16121851259269737,89.19956482500352,0.0,0.0,0.0,0.0,1.5078428310779544e-17,0.08159120473766111,0.0
pgp0250batt0010,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,4.24e-05,3.675e-07,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.9418751888350398,1.55601942824144,0.0,293.7012950019781,0.0,0.0,0.0,0.08703401218767277,optimal,0.0,0.0,0.5338935015133013,0.4841326526679945,0.0,0.1792446667739932,0.16121851259269737,89.19956482500352,0.0,0.0,0.0,0.0,1.404342134774293e-17,0.08159120473766111,0.0
pgp0010batt0020,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,8.48e-05,1.47e-08,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,2.5076451403724502,1.2715334872734552,0.0,61.18600053630539,138.1095226075408,0.06888871616851897,0.08376148003697463,0.0925981583752758,optimal,0.0,0.0,0.6573781881106516,0.3897542447467145,0.0,0.24203345429205733,0.21780428525979978,22.6522833797166,0.044906838872365934,0.02200357504725734,68.07019282573343,0.0,0.03206645397751315,0.07253871650105995,0.0
pgp0900batt0100,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,0.000424,1.3229999999999999e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.3281350495265924,2.169968893839451,0.0,13.714275714653459,337.60395147909117,0.16255695493527794,0.3290473139591061,0.10318485436985718,optimal,0.0,0.0,0.36515357740354243,0.6930772042296588,0.0,0.081511415366583,0.07335527360685244,4.386160589884855,0.09818239882245382,0.048107758948983274,141.7959659027284,0.0,9.930511301332104e-18,0.09586099974928067,0.0
pgp0010batt0650,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,0.002756,1.47e-08,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0516026377393268,2.4714135981304133,0.0,1.9191038490399968,383.734194180013,0.2566834403537678,0.5207189117136956,0.11584012644817109,optimal,0.0,0.0,0.28912456253179253,0.782203850412713,0.0,0.030997142744833138,0.02789683378891468,0.5216503817286331,0.13377694211501076,0.06554883812642363,163.46578268639243,0.0,1.41066919180181e-17,0.1163309677285075,0.0
pgp0950batt0850,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,0.0036039999999999996,1.3964999999999999e-06,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0345218129512328,2.4920094956718684,0.0,1.6975278768951767,386.0665493757081,0.2600879276753301,0.5300788974587493,0.11789273870346739,optimal,0.0,0.0,0.28442841037573074,0.7876839356775561,0.0,0.028993566374567386,0.026093686507808186,0.45897307235545365,0.13570703119013827,0.06649456500361059,164.93680246190237,0.0,-2.4709225505933744e-17,0.11833895773599684,0.0
pgp0400batt0900,0.0,-1.0,-1.0,0.0219,0.0206,-1.0,0.003816,5.88e-07,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.14e-06,0.49,1.14e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0293821168580706,2.480938608111917,0.0,1.6835862082856223,393.7708991009125,0.2709980251781595,0.53361024348413,0.1179351331875599,optimal,0.0,0.0,0.28301531732028107,0.7904269783711818,0.0,0.029030603395403316,0.02612701347535188,0.4645443080070263,0.13830743844830884,0.06776873267689727,167.73357585952704,0.0,2.028895731271634e-17,0.11157085911977362,0.0
