time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0021389800460316433,0.6733222641204508,0.0,0.0,0.3208900524411567,1.9279074350664693,0.0,0.21530624866199952,107.39187019986548,0.0,0.0,0.0,0.0,0.07480496035292693
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6832022029226588,0.0,0.0,0.06318209151520313,1.607015194199746,0.0,0.4632175542481983,107.17656272614147,0.0,0.0,1.1102230246251565e-16,0.0,0.07480496120625706
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6864966337216528,0.0,0.0,0.0,1.5438312785133852,0.0,0.5048052326693435,106.71334394928735,0.0,0.0,0.0,0.0,0.07480496205958719
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6795194909816847,0.0,0.0,0.0,1.543829526064186,0.0,0.488278911137065,106.20853749929618,0.0,0.0,0.0,0.0,0.07480496291291731
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6524570700188258,0.0,0.0,0.0,1.543827773616976,0.0,0.49559165544331557,105.72025737659585,0.0,0.0,0.0,0.0,0.07480496376624746
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6278584747268287,0.0,0.0,0.0,1.5438260211717554,0.0,0.5003356478989177,105.22466451515928,0.0,0.0,0.0,0.0,0.07480496461957761
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.615731632398142,0.0,0.0,0.0,1.5438242687285242,0.0,0.49982638029042076,104.72432766692052,0.0,0.0,0.0,0.0,0.07480496547290777
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.6097771993349688,0.0,0.0,0.0,1.543822516287282,0.0,0.49825396596684596,104.2245000919978,0.0,0.0,0.0,0.0,0.07480496632623794
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.6019734737918084,0.0,0.0,0.0,1.543820763848029,0.0,0.49911757418982117,103.72624493710039,0.0,0.0,0.0,0.0,0.07480496717956815
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.598647324300658,0.0,0.0,0.0,1.5438190114107653,0.0,0.506032627299802,103.2271261796638,0.0,0.0,1.1102230246251565e-16,0.0,0.07480496803289834
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.599360277667289,0.0,0.0,0.00022133082178560376,1.543817258975491,0.0,0.516685191250701,102.72109237481088,0.0,0.0,0.0,0.0,0.07480572543079504
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.594773290896532,0.0,0.0,0.022581527638064664,1.5435941757204201,0.0,0.516685191250701,102.20440601177958,0.0,0.0,0.0,0.0,0.07480581034511453
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5812174094925412,0.0,0.0,0.05875863686384989,1.5210108959022988,0.0,0.516685191250701,101.68771965464232,0.0,0.0,0.0,0.0,0.07480589525953042
