time (hr),demand (kW),solar capacity factor (-),wind capacity factor (-),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),cutailment solar (kW),cutailment wind (kW),cutailment nuclear (kW),price ($/kWh)
0.0,1.2116575452696388,0.002022982,0.270847194,0.0,0.0,0.0021934836510569397,0.6597051172897335,0.0,0.0,0.11084860914783354,5.372041448299403,0.0,0.43891033518101463,109.77351130238902,0.0,0.0,1.1102230246251565e-16,0.0,0.08073388787333509
1.0,1.2096018486860602,0.0,0.274821448,0.0,0.0,0.0,0.6693852460091368,0.0,0.0,0.10130626749590879,5.26118674118616,0.0,0.43891033518101463,109.33459971497766,0.0,0.0,0.0,0.0,0.08073397951689726
2.0,1.1913018663909964,0.0,0.276146649,0.0,0.0,0.0,0.6726130508396992,0.0,0.0,0.07977848037028244,5.1598745015593455,0.0,0.43891033518101463,108.89568813257313,0.0,0.0,0.0,0.0,0.08073407116056344
3.0,1.1677984021187497,0.0,0.273340059,0.0,0.0,0.0,0.6657770125636883,0.0,0.0,0.06311105437404692,5.080090164060721,0.0,0.43891033518101463,108.45677655517544,0.0,0.0,-1.1102230246251565e-16,0.0,0.08073416280433368
4.0,1.1480487254621414,0.0,0.262454067,0.0,0.0,0.0,0.6392618970732352,0.0,0.0,0.06987649320789144,5.016973343123926,0.0,0.43891033518101463,108.01786498278457,0.0,0.0,1.1102230246251565e-16,0.0,0.08073425444820795
5.0,1.1281941226257464,0.0,0.252559161,0.0,0.0,0.0,0.6151607792920375,0.0,0.0,0.07412300815269415,4.947091154999083,0.0,0.43891033518101463,107.57895341540058,0.0,0.0,0.0,0.0,0.08073434609218622
6.0,1.1155580126885627,0.0,0.247681079,0.0,0.0,0.0,0.6032791880138243,0.0,0.0,0.07336848949372377,4.872962531254807,0.0,0.43891033518101463,107.1400418530234,0.0,0.0,0.0,0.0,0.08073443773626852
7.0,1.1080311653018147,0.0,0.245285879,0.0,0.0,0.0,0.5974451763203809,0.0,0.0,0.07167565380041922,4.799588510315125,0.0,0.43891033518101463,106.70113029565307,0.0,0.0,0.0,0.0,0.08073452938045486
8.0,1.1010910479816296,0.0,0.242146792,0.0,0.0,0.0,0.5897992719012356,0.0,0.0,0.0723814408993794,4.7279074083578,0.0,0.43891033518101463,106.26221874328958,0.0,0.0,0.0,0.0,0.08073462102474521
9.0,1.1046799516004602,0.0,0.240808832,0.0,0.0,0.0,0.5865403898515698,0.0,0.0,0.07922922656787584,4.655520600668884,0.0,0.43891033518101463,105.82330719593294,0.0,0.0,0.0,0.0,0.0807347126691396
10.0,1.1162667997397757,0.0,0.241095621,0.0,0.0,0.0,0.5872389245791712,0.0,0.0,0.0901175399795898,4.5762860894799084,0.0,0.43891033518101463,105.38439565358313,0.0,0.0,0.0,0.0,0.08073480431363803
11.0,1.1340400097852976,0.0,0.239250483,0.0,0.0,0.0,0.5827447041933925,0.0,0.0,0.1123849704108904,4.4861633548206905,0.0,0.43891033518101463,104.94548411624014,0.0,0.0,0.0,0.0,0.08073489595824047
12.0,1.156661237607092,0.0,0.233797563,0.0,0.0,0.0,0.5694629744658491,0.0,0.0,0.14828792796022833,4.37377329203119,0.0,0.43891033518101463,104.50657258390402,0.0,0.0,-1.1102230246251565e-16,0.0,0.08073498760294696
13.0,1.1776850178753973,0.0,0.228031707,0.0,0.0,0.0,0.5554190235111431,0.0,0.0,0.18335565918323943,4.225480399269686,0.0,0.43891033518101463,104.06766105657472,0.0,0.0,0.0,0.0,0.08073507924775745
14.0,1.1889313912680575,0.073691983,0.222339816,0.0,0.0,0.07990291555953831,0.5415552298188393,0.0,0.0,0.12856291070866505,4.04211994361688,0.0,0.43891033518101463,103.62874953425226,0.0,0.0,0.0,0.0,0.080735170892672
15.0,1.1938672044192535,0.392796165,0.197158781,0.0,0.0,0.42590194382617547,0.48022154050562504,0.0,0.0,0.0,3.9135524445766037,0.0,0.2877437200874529,103.18983801693666,0.0,0.0,0.0,0.0,0.07266557401432058
16.0,1.1898971403922178,0.566870317,0.165461781,0.0,0.0,0.614647472201416,0.4030168525267174,0.0,0.0,0.0,3.9135480021858173,0.0,0.17223281566408447,102.90209311972144,0.0,-1.1102230246251565e-16,-5.551115123125783e-17,0.0,0.07266557484324586
17.0,1.1807492905952939,0.584959422,0.144656312,0.0,0.0,0.6342611692485238,0.3523407714338746,0.0,0.0,0.0,3.9135435598000736,0.0,0.1941473499128956,102.72985913021202,0.0,-1.1102230246251565e-16,0.0,0.0,0.07266557567217116
18.0,1.1644086441064532,0.548865303,0.140981722,0.0,0.0,0.5951249535403249,0.34339053720349266,0.0,0.0,0.0,3.9135391174193725,0.0,0.22589315336263552,102.53571060841851,0.0,0.0,5.551115123125783e-17,0.0,0.07266557650109645
19.0,1.1518346333368983,0.529070696,0.14460458,0.0,0.0,0.5736620107985718,0.35221476730356177,0.0,0.0,0.0,3.9135346750437146,0.0,0.22595785523476464,102.30981628539001,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,0.07266557733002176
20.0,1.1426996316436218,0.545293524,0.149326342,0.0,0.0,0.5912521366582723,0.3637156084532183,0.0,0.0,0.0,3.9135302326730987,0.0,0.18773188653213124,102.08385726306625,0.0,0.0,0.0,0.0,0.07266557815894709
